	[Abort Jobs]
	OID	CID	Abort	Delay
[1]	298	0	6	0
[2]	117	0	45	0
[3]	274	0	50	0
[4]	206	0	97	0
[5]	119	2	500	494
[6]	272	1	501	500
[7]	267	2	500	470
[8]	122	2	500	250
[9]	116	1	507	501
[10]	370	1	583	82
[11]	205	0	601	0
[12]	107	0	603	0
[13]	108	0	604	0
[14]	231	1	687	87
[15]	103	1	687	86
[16]	105	1	687	86
[17]	102	2	608	7
[18]	104	2	608	7
[19]	106	2	608	7
	[Jobs Done]
	OID	CID	Departure	Delay
[1]	120	1	501	0
[2]	121	2	11	0
[3]	131	2	106	9
[4]	115	2	115	100
[5]	111	2	505	495
[6]	135	2	508	0
[7]	132	1	607	0
[8]	142	2	588	7
[9]	101	2	607	0
[Average Delay]	113.86 ms
[Success Rate]	32.14 %
